Scent
Sample,Spicy,Roasted,Earthy,Floral,Vegetal,Fruity,Nutty,Notes
Bar 1,0,1,2,2,0,1,4,
Bar 2,0,2,2,0,1,0,3,
Bar 3,0,4,3,2,0,0,1,
Bar 4,0,2,2,4,0,0,0,
Bar 5,0,2,3,0,2,1,4,
Bar 6,0,1,3,0,4,0,2,
Bar 7,0,2,0,3,1,3,1,
Bar 8,0,1,0,3,0,3,1,
Bar 9,0,3,3,1,2,0,3,
Bar 10,2,2,3,5,0,0,1,

Taste
Sample,Spicy,Roasted,Earthy,Floral,Vegetal,Fruity,Nutty,Notes
Bar 1,2,3,3,0,0,0,5,
Bar 2,0,1,3,2,0,0,2,
Bar 3,0,3,5,0,0,0,0,
Bar 4,1,5,2,0,2,0,0,
Bar 5,0,2,2,0,0,2,2,
Bar 6,0,1,2,3,3,0,2,
Bar 7,0,3,1,2,0,1,2,
Bar 8,0,1,0,1,0,3,3,
Bar 9,0,5,1,0,0,0,2,
Bar 10,0,5,5,0,0,0,2,
