Scent
Sample,Spicy,Roasted,Earthy,Floral,Vegetal,Fruity,Nutty,Notes
Bar 1,0,0,3,3,0,3,0,
Bar 2,0,4,4,2,0,0,0,
Bar 3,0,3,2,0,0,2,3,
Bar 4,0,2,3,3,0,0,0,
Bar 5,0,0,3,0,0,2,0,
Bar 6,0,3,3,0,0,2,2,
Bar 7,0,0,0,5,1,2,0,
Bar 8,2,3,2,2,0,0,2,
Bar 9,2,4,3,0,0,2,3,
Bar 10,0,2,3,0,0,1,3,

Taste
Sample,Spicy,Roasted,Earthy,Floral,Vegetal,Fruity,Nutty,Notes
Bar 1,0,3,3,3,0,3,0,
Bar 2,0,2,3,3,0,3,0,
Bar 3,3,0,5,2,0,0,0,
Bar 4,0,0,3,0,0,3,0,
Bar 5,0,0,2,3,0,0,0,
Bar 6,1,2,3,0,0,3,,
Bar 7,2,2,0,0,3,3,0,
Bar 8,2,3,5,0,0,0,2,
Bar 9,2,3,3,2,0,0,3,
Bar 10,1,3,4,0,0,0,2,
