Scent
Sample,Spicy,Roasted,Earthy,Floral,Vegetal,Fruity,Nutty,Notes
Bar 1,4,2,1,5,0,2,0,
Bar 2,1,2,1,0,1,0,0,
Bar 3,1,3,2,4,3,0,0,
Bar 4,1,1,0,0,2,2,0,
Bar 5,0,3,2,0,1,0,1,
Bar 6,0,0,1,0,1,1,0,
Bar 7,2,1,2,1,1,0,0,
Bar 8,0,0,1,0,1,2,1,
Bar 9,1,2,1,0,2,0,1,
Bar 10,0,3,2,2,1,2,1,

Taste
Sample,Spicy,Roasted,Earthy,Floral,Vegetal,Fruity,Nutty,Notes
Bar 1,5,4,4,5,4,3,0,
Bar 2,3,2,1,2,3,0,0,
Bar 3,0,3,5,0,3,0,0,
Bar 4,1,2,4,3,0,0,0,
Bar 5,1,3,0,0,1,2,5,
Bar 6,0,5,2,0,2,0,0,
Bar 7,0,4,1,0,0,0,0,
Bar 8,1,2,0,2,3,1,3,
Bar 9,0,3,1,0,1,4,4,
Bar 10,3,5,4,3,1,2,0,
