Scent
Sample,Spicy,Roasted,Earthy,Floral,Vegetal,Fruity,Nutty,Notes
Bar 1,3,1,0,0,,1,2,
Bar 2,1,0,1,3,0,2,0,
Bar 3,1,0,3,2,3,0,2,
Bar 4,2,0,1,0,2,2,0,
Bar 5,0,0,0,3,4,0,0,
Bar 6,0,0,1,0,0,3,0,
Bar 7,0,0,1,0,1,3,3,
Bar 8,0,0,0,1,2,2,3,
Bar 9,0,1,0,2,0,1,3,
Bar 10,1,1,2,2,0,0,0,

Taste
Sample,Spicy,Roasted,Earthy,Floral,Vegetal,Fruity,Nutty,Notes
Bar 1,0,0,4,2,3,1,0,
Bar 2,0,2,2,0,0,0,3,
Bar 3,0,0,5,0,1,0,0,
Bar 4,0,0,3,0,4,0,0,
Bar 5,2,3,3,0,0,0,3,
Bar 6,0,3,0,0,1,0,4,
Bar 7,0,2,3,0,2,0,0,
Bar 8,0,4,0,0,0,1,2,
Bar 9,0,1,1,3,2,0,2,
Bar 10,0,2,3,2,0,0,2,
