Scent
Sample,Spicy,Roasted,Earthy,Floral,Vegetal,Fruity,Nutty,Notes
Bar 1,0,0,0,2,1,1,0,
Bar 2,0,0,1,3,0,0,0,
Bar 3,0,1,1,0,0,0,0,
Bar 4,0,3,0,0,5,0,0,
Bar 5,0,0,1,0,0,1,0,
Bar 6,0,1,1,1,0,0,0,
Bar 7,0,2,0,0,0,4,0,
Bar 8,0,0,2,0,0,0,0,
Bar 9,0,0,0,0,0,0,0,
Bar 10,0,0,0,4,1,0,0,

Taste
Sample,Spicy,Roasted,Earthy,Floral,Vegetal,Fruity,Nutty,Notes
Bar 1,0,2,5,1,0,0,0,
Bar 2,0,0,2,3,0,0,0,
Bar 3,0,1,4,0,0,0,0,
Bar 4,0,2,5,0,5,0,0,
Bar 5,0,0,1,2,0,1,1,
Bar 6,0,3,1,0,0,0,1,
Bar 7,0,0,5,0,0,0,1,
Bar 8,0,3,1,0,0,2,1,
Bar 9,0,5,0,0,0,0,1,
Bar 10,0,0,5,0,0,0,0,
